p1,p2,p3
421, 289, 420
276, 408, 241
223, 408, 307
422, 563, 417
542, 176, 112
423, 400, 397
425, 410, 428
387, 659, 414
411, 407, 413
398, 402, 520
409, 416, 422
420, 413, 407
285, 591, 590
387, 414, 411
412, 551, 414
175, 545, 547
286, 415, 607
408, 416, 405
422, 416, 223
175, 226, 545
608, 397, 558
555, 554, 558
606, 284, 604
419, 425, 428
450, 456, 457
421, 420, 407
289, 285, 420
415, 421, 407
286, 288, 426
563, 422, 223
555, 422, 417
400, 423, 410
397, 418, 423
427, 438, 556
636, 424, 632
428, 410, 406
431, 425, 419
289, 421, 426
286, 426, 421
409, 558, 397
652, 656, 649
440, 430, 442
428, 406, 442
597, 522, 620
566, 430, 609
438, 440, 442
419, 566, 451
450, 432, 448
433, 431, 364
573, 473, 574
447, 441, 439
376, 433, 364
425, 433, 196
449, 456, 454
452, 447, 439
435, 419, 451
435, 434, 436
472, 446, 432
670, 441, 447
436, 441, 437
352, 437, 670
608, 556, 438
438, 427, 440
448, 446, 564
467, 439, 472
443, 427, 632
430, 440, 444
564, 436, 434
452, 439, 467
428, 442, 430
438, 442, 406
648, 424, 640
444, 429, 609
440, 445, 444
444, 445, 654
427, 445, 440
656, 443, 649
439, 441, 446
441, 436, 564
333, 447, 220
447, 333, 670
454, 434, 451
432, 446, 448
434, 435, 451
657, 654, 655
434, 450, 448
626, 627, 449
566, 419, 428
566, 609, 565
455, 452, 168
220, 447, 452
569, 568, 495
450, 457, 432
434, 454, 450
610, 454, 451
455, 168, 458
455, 293, 331
627, 456, 449
457, 456, 453
453, 463, 457
477, 465, 466
466, 468, 464
219, 458, 461
453, 630, 567
473, 478, 571
464, 468, 462
470, 460, 468
462, 614, 458
614, 461, 458
168, 464, 458
586, 619, 481
567, 463, 453
463, 459, 476
464, 168, 466
462, 458, 464
466, 168, 467
432, 457, 475
168, 452, 467
468, 466, 465
439, 446, 472
466, 467, 477
469, 479, 478
462, 468, 460
575, 592, 490
480, 470, 479
571, 468, 465
470, 478, 479
475, 457, 476
574, 615, 573
475, 472, 432
471, 572, 477
572, 473, 571
471, 476, 574
492, 493, 580
470, 480, 460
457, 463, 476
472, 475, 471
459, 569, 615
471, 475, 476
467, 472, 477
471, 477, 472
571, 478, 470
573, 478, 473
582, 479, 469
480, 479, 474
583, 474, 616
583, 351, 481
351, 585, 584
613, 570, 618
587, 482, 170
258, 482, 221
186, 483, 140
484, 483, 138
188, 487, 138
486, 484, 485
326, 485, 189
486, 485, 325
486, 325, 536
270, 484, 486
185, 487, 188
189, 485, 487
244, 488, 206
245, 281, 488
535, 285, 534
533, 319, 133
580, 617, 492
671, 573, 575
491, 192, 594
302, 491, 303
155, 207, 493
494, 577, 580
494, 117, 336
117, 494, 493
261, 578, 328
576, 578, 363
569, 239, 615
459, 463, 567
497, 496, 201
346, 496, 308
149, 198, 498
500, 498, 501
501, 123, 350
669, 501, 503
640, 424, 636
504, 502, 308
123, 501, 498
500, 499, 502
503, 501, 317
499, 500, 501
507, 502, 499
506, 242, 346
604, 503, 317
284, 664, 669
308, 497, 504
500, 504, 497
651, 643, 645
518, 519, 521
502, 507, 508
510, 506, 508
641, 647, 663
507, 505, 508
509, 508, 505
508, 509, 510
509, 505, 518
384, 383, 521
511, 510, 383
506, 510, 513
384, 511, 383
511, 153, 512
153, 515, 512
515, 516, 512
506, 513, 242
510, 511, 513
651, 666, 667
661, 660, 387
385, 515, 153
516, 515, 281
516, 281, 161
516, 309, 517
347, 517, 309
512, 517, 242
642, 641, 662
519, 518, 514
668, 520, 519
382, 521, 357
357, 520, 402
668, 519, 514
518, 521, 509
519, 357, 521
529, 601, 524
597, 620, 247
523, 210, 600
314, 523, 315
145, 197, 525
527, 525, 528
528, 119, 344
530, 526, 528
623, 627, 626
527, 529, 524
119, 528, 525
529, 527, 526
530, 528, 305
526, 527, 528
626, 610, 611
621, 601, 529
568, 530, 305
530, 274, 625
628, 531, 247
284, 503, 604
233, 532, 180
133, 532, 181
116, 257, 588
535, 533, 489
318, 319, 534
535, 534, 319
533, 535, 319
535, 489, 591
327, 536, 325
296, 536, 328
537, 167, 291
538, 537, 218
298, 538, 252
537, 538, 355
583, 539, 351
363, 539, 362
404, 540, 359
589, 540, 399
544, 546, 548
124, 176, 542
542, 541, 546
124, 542, 545
286, 543, 287
542, 543, 541
541, 548, 546
635, 633, 553
549, 542, 546
175, 547, 417
541, 607, 548
552, 549, 544
549, 547, 545
550, 547, 552
415, 551, 548
551, 560, 548
542, 549, 545
544, 549, 546
544, 557, 550
422, 555, 409
414, 551, 415
560, 551, 412
549, 552, 547
544, 550, 552
557, 544, 562
427, 633, 632
554, 555, 561
633, 556, 553
417, 550, 555
555, 550, 561
608, 438, 418
559, 556, 608
548, 560, 562
557, 553, 559
555, 558, 409
558, 554, 608
559, 554, 561
553, 556, 559
659, 660, 639
557, 562, 553
550, 557, 561
559, 561, 557
548, 562, 544
553, 562, 560
259, 563, 223
175, 563, 224
448, 564, 434
441, 564, 446
599, 611, 629
454, 610, 449
430, 566, 428
451, 566, 565
568, 567, 274
569, 567, 568
530, 568, 274
612, 568, 305
239, 569, 495
459, 567, 569
619, 462, 460
584, 481, 351
468, 571, 470
572, 571, 465
477, 572, 465
574, 572, 471
575, 573, 239
478, 573, 469
574, 473, 572
476, 459, 615
592, 575, 239
617, 671, 490
579, 581, 582
577, 494, 296
328, 577, 296
578, 581, 577
581, 578, 576
328, 578, 577
671, 582, 469
617, 490, 593
494, 580, 493
581, 580, 577
576, 616, 582
580, 581, 579
576, 582, 581
479, 582, 474
474, 583, 480
583, 362, 539
367, 380, 618
586, 584, 618
391, 585, 351
367, 585, 392
614, 619, 570
481, 584, 586
589, 587, 170
588, 489, 533
588, 533, 116
221, 587, 588
589, 399, 590
587, 589, 489
388, 590, 399
420, 590, 413
535, 591, 285
589, 591, 489
495, 592, 239
593, 592, 273
302, 593, 273
617, 593, 303
493, 594, 155
491, 594, 492
302, 595, 304
592, 595, 273
150, 596, 201
498, 596, 149
531, 597, 247
598, 597, 283
314, 598, 283
601, 598, 315
621, 620, 522
622, 611, 599
525, 600, 145
523, 600, 524
598, 601, 522
524, 601, 315
314, 602, 316
597, 602, 283
603, 653, 652
424, 648, 649
602, 604, 316
604, 531, 606
232, 605, 350
316, 604, 605
628, 606, 531
666, 606, 603
548, 607, 415
543, 607, 541
608, 418, 397
559, 608, 554
444, 609, 430
629, 609, 429
451, 565, 610
609, 629, 565
599, 621, 622
611, 622, 623
344, 612, 305
612, 304, 595
377, 613, 115
461, 613, 294
619, 614, 462
613, 614, 570
573, 615, 239
476, 615, 574
583, 616, 362
582, 616, 474
492, 617, 303
671, 617, 579
586, 618, 570
618, 584, 367
481, 619, 460
570, 619, 586
522, 601, 621
655, 620, 599
623, 624, 526
599, 620, 621
624, 621, 529
622, 624, 623
625, 623, 526
623, 625, 627
621, 624, 622
526, 624, 529
530, 625, 526
630, 627, 625
610, 626, 449
611, 623, 626
630, 625, 274
456, 627, 453
653, 628, 247
606, 628, 603
629, 429, 657
610, 629, 611
567, 630, 274
453, 627, 630
48, 631, 49
139, 631, 47
427, 556, 633
649, 632, 424
635, 560, 634
632, 633, 636
658, 412, 639
634, 638, 636
560, 635, 553
636, 635, 634
635, 636, 633
639, 638, 634
660, 661, 662
644, 640, 637
634, 658, 639
638, 637, 640
659, 639, 412
637, 638, 639
641, 644, 662
654, 656, 653
642, 514, 518
507, 650, 505
518, 505, 642
505, 650, 647
645, 640, 644
645, 643, 648
637, 660, 662
644, 641, 645
647, 641, 642
645, 663, 651
650, 507, 665
664, 284, 666
505, 647, 642
647, 646, 663
645, 648, 640
649, 648, 643
652, 649, 643
649, 443, 632
665, 507, 499
647, 650, 646
664, 651, 646
651, 664, 666
667, 652, 643
628, 653, 603
247, 620, 655
654, 445, 443
654, 653, 655
444, 654, 429
655, 599, 657
247, 655, 653
653, 656, 652
443, 656, 654
629, 657, 599
654, 657, 429
634, 560, 658
412, 658, 560
414, 659, 412
660, 659, 387
403, 661, 387
639, 660, 637
668, 398, 520
642, 662, 514
637, 662, 644
514, 662, 661
663, 645, 641
646, 651, 663
646, 665, 664
664, 665, 669
650, 665, 646
669, 665, 499
606, 666, 284
603, 652, 667
651, 667, 643
603, 667, 666
514, 661, 668
398, 668, 661
501, 669, 499
284, 669, 503
352, 670, 295
441, 670, 437
490, 671, 575
582, 671, 579
